speed,count,start_time,calorie,end_time,distance
1.361111,15,2021-12-03 11:33:00,0.520000,2021-12-03 11:33:59,11.470000
1.489390,7,2021-12-03 11:34:00,0.202091,2021-12-03 11:35:00,5.436658
1.416667,8,2021-12-03 11:34:00,0.280000,2021-12-03 11:34:59,6.140000
1.270996,92,2021-12-03 11:35:00,3.250000,2021-12-03 11:35:59,68.280000
1.044123,66,2021-12-03 11:35:00,2.327262,2021-12-03 11:36:00,46.151100
1.439713,22,2021-12-03 11:36:00,0.657490,2021-12-03 11:37:00,15.738900
1.916667,29,2021-12-03 11:36:00,0.880000,2021-12-03 11:36:59,16.310000
1.073507,23,2021-12-03 11:42:00,0.753862,2021-12-03 11:43:00,16.073158
1.361111,31,2021-12-03 11:42:00,1.060000,2021-12-03 11:42:59,23.870000
0.710571,34,2021-12-03 11:43:00,1.387712,2021-12-03 11:44:00,23.551966
1.138889,33,2021-12-03 11:43:00,1.240000,2021-12-03 11:43:59,23.610000
1.079813,42,2021-12-03 11:44:00,1.621567,2021-12-03 11:45:00,33.086246
1.307314,46,2021-12-03 11:44:00,1.630000,2021-12-03 11:44:59,33.900000
1.391763,112,2021-12-03 11:45:00,4.450000,2021-12-03 11:45:59,85.059000
1.310441,109,2021-12-03 11:45:00,3.692861,2021-12-03 11:46:00,78.827721
1.416667,111,2021-12-03 11:46:00,3.730000,2021-12-03 11:46:59,80.510000
1.315247,111,2021-12-03 11:46:00,3.702231,2021-12-03 11:47:00,79.043587
1.427667,112,2021-12-03 11:47:00,4.030000,2021-12-03 11:47:59,85.660000
1.405306,112,2021-12-03 11:47:00,3.813216,2021-12-03 11:48:00,84.119667
1.416667,108,2021-12-03 11:48:00,3.290000,2021-12-03 11:48:59,82.960000
1.425397,111,2021-12-03 11:48:00,3.851740,2021-12-03 11:49:00,85.456108
1.251702,107,2021-12-03 11:49:00,3.518680,2021-12-03 11:50:00,75.086960
1.435501,107,2021-12-03 11:49:00,3.750000,2021-12-03 11:49:59,80.580000
1.555556,55,2021-12-03 11:50:00,1.870000,2021-12-03 11:50:59,42.180000
0.941129,31,2021-12-03 11:50:00,1.189081,2021-12-03 11:51:00,22.634583
1.416667,18,2021-12-03 11:51:00,0.640000,2021-12-03 11:51:59,13.540000
1.019483,16,2021-12-03 11:51:00,0.625098,2021-12-03 11:52:00,12.640000
1.388889,24,2021-12-03 11:53:00,0.840000,2021-12-03 11:53:59,18.400000
1.464140,22,2021-12-03 11:53:00,0.865058,2021-12-03 11:54:00,19.559999
0.916667,25,2021-12-03 11:54:00,0.950000,2021-12-03 11:54:59,17.070000
1.228898,17,2021-12-03 11:55:00,0.540000,2021-12-03 11:55:59,11.980000
1.214021,10,2021-12-03 11:55:00,0.408898,2021-12-03 11:56:00,9.200000
1.333333,27,2021-12-03 12:08:00,0.940000,2021-12-03 12:08:59,20.140000
1.027778,17,2021-12-03 12:27:00,0.630000,2021-12-03 12:27:59,11.700000
1.777778,23,2021-12-03 12:41:00,0.780000,2021-12-03 12:41:59,18.160000
1.916667,17,2021-12-03 12:42:00,0.600000,2021-12-03 12:42:59,14.100000
1.722222,26,2021-12-03 12:44:00,0.890000,2021-12-03 12:44:59,21.320000
1.361111,18,2021-12-03 12:45:00,0.630000,2021-12-03 12:45:59,14.010000
1.166667,16,2021-12-03 12:53:00,0.570000,2021-12-03 12:53:59,11.640000
1.148420,97,2021-12-03 12:55:00,3.320638,2021-12-03 12:56:00,68.897087
1.444444,107,2021-12-03 12:55:00,3.350000,2021-12-03 12:55:59,81.530000
1.343258,109,2021-12-03 12:56:00,3.694239,2021-12-03 12:57:00,80.396912
1.528469,112,2021-12-03 12:56:00,4.140000,2021-12-03 12:56:59,87.549000
1.372333,109,2021-12-03 12:57:00,4.070000,2021-12-03 12:57:59,82.340000
1.437815,100,2021-12-03 12:57:00,3.941239,2021-12-03 12:58:00,86.303474
1.564618,104,2021-12-03 12:58:00,4.188506,2021-12-03 12:59:00,94.380028
1.305556,105,2021-12-03 12:58:00,3.730000,2021-12-03 12:58:59,78.330000
1.434295,98,2021-12-03 12:59:00,3.868803,2021-12-03 13:00:00,85.434349
1.205667,99,2021-12-03 12:59:00,3.300000,2021-12-03 12:59:59,72.340000
1.250000,57,2021-12-03 13:00:00,2.060000,2021-12-03 13:00:59,41.770000
0.976229,48,2021-12-03 13:00:00,1.926059,2021-12-03 13:01:00,37.228153
1.266162,30,2021-12-03 13:06:00,1.202172,2021-12-03 13:07:00,25.620001
1.194444,33,2021-12-03 13:06:00,1.210000,2021-12-03 13:06:59,24.040000
1.305556,24,2021-12-03 13:07:00,0.810000,2021-12-03 13:07:59,17.900000
0.529340,26,2021-12-03 13:07:00,1.301828,2021-12-03 13:08:00,19.478094
1.388889,76,2021-12-03 13:08:00,2.920000,2021-12-03 13:08:59,55.150000
1.194621,57,2021-12-03 13:08:00,2.311341,2021-12-03 13:09:00,48.634365
1.333333,84,2021-12-03 13:09:00,2.920000,2021-12-03 13:09:59,63.300000
1.292315,83,2021-12-03 13:09:00,3.047928,2021-12-03 13:10:00,64.837540
0.691196,10,2021-12-03 13:41:00,0.538489,2021-12-03 13:42:00,9.200000
1.638889,15,2021-12-03 14:23:00,0.520000,2021-12-03 14:23:59,11.970000
1.276508,40,2021-12-03 14:32:00,1.410000,2021-12-03 14:32:59,28.950000
1.250000,61,2021-12-03 14:33:00,1.970000,2021-12-03 14:33:59,44.690000
1.205020,57,2021-12-03 14:33:00,2.208616,2021-12-03 14:34:00,46.313290
1.260911,46,2021-12-03 14:34:00,1.498448,2021-12-03 14:35:00,32.296711
1.333333,53,2021-12-03 14:34:00,1.850000,2021-12-03 14:34:59,39.700000
1.916667,15,2021-12-03 14:35:00,0.520000,2021-12-03 14:35:59,12.540000
0.802909,9,2021-12-03 14:35:00,0.315370,2021-12-03 14:36:00,6.210000
1.262686,88,2021-12-03 14:36:00,3.059777,2021-12-03 14:37:00,65.495995
1.443776,107,2021-12-03 14:36:00,3.430000,2021-12-03 14:36:59,82.130000
1.333063,103,2021-12-03 14:37:00,3.720000,2021-12-03 14:37:59,77.489000
1.241253,105,2021-12-03 14:37:00,3.617243,2021-12-03 14:38:00,75.777863
1.275065,62,2021-12-03 14:38:00,2.174326,2021-12-03 14:39:00,46.706810
1.346136,69,2021-12-03 14:38:00,2.430000,2021-12-03 14:38:59,52.110000
1.376167,109,2021-12-03 14:39:00,4.000000,2021-12-03 14:39:59,82.570000
1.360963,112,2021-12-03 14:39:00,3.854568,2021-12-03 14:40:00,83.140343
1.416667,110,2021-12-03 14:40:00,3.910000,2021-12-03 14:40:59,84.240000
1.442088,111,2021-12-03 14:40:00,3.883746,2021-12-03 14:41:00,86.402924
1.213155,104,2021-12-03 14:41:00,3.444766,2021-12-03 14:42:00,72.786423
1.303167,105,2021-12-03 14:41:00,3.420000,2021-12-03 14:41:59,78.190000
1.411482,70,2021-12-03 14:42:00,2.593260,2021-12-03 14:43:00,56.461662
1.286915,69,2021-12-03 14:42:00,2.400000,2021-12-03 14:42:59,51.170000
1.691328,114,2021-12-03 14:43:00,4.435590,2021-12-03 14:44:00,101.677071
1.446667,113,2021-12-03 14:43:00,3.600000,2021-12-03 14:43:59,86.800000
1.348049,111,2021-12-03 14:44:00,3.766195,2021-12-03 14:45:00,80.946289
1.388889,106,2021-12-03 14:44:00,3.790000,2021-12-03 14:44:59,80.820000
1.421299,3,2021-12-03 14:45:00,0.065151,2021-12-03 14:46:00,2.454622
1.468160,35,2021-12-03 14:45:00,1.210000,2021-12-03 14:45:59,26.669000
0.483236,16,2021-12-03 14:54:00,0.693270,2021-12-03 14:55:00,10.080000
1.092267,8,2021-12-03 15:06:00,0.272285,2021-12-03 15:07:00,6.400000
1.337036,9,2021-12-03 15:20:00,0.436884,2021-12-03 15:21:00,10.080000
1.805556,39,2021-12-03 15:29:00,1.280000,2021-12-03 15:29:59,30.800000
1.305556,28,2021-12-03 15:38:00,1.010000,2021-12-03 15:38:59,20.590000
1.000000,15,2021-12-03 15:46:00,0.540000,2021-12-03 15:46:59,10.490000
1.861111,28,2021-12-03 15:48:00,0.920000,2021-12-03 15:48:59,22.590000
1.333333,19,2021-12-03 15:54:00,0.670000,2021-12-03 15:54:59,13.910000
1.250000,58,2021-12-03 15:55:00,2.070000,2021-12-03 15:55:59,42.490000
1.059590,66,2021-12-03 15:55:00,2.295986,2021-12-03 15:56:00,45.669998
1.444444,22,2021-12-03 15:56:00,0.750000,2021-12-03 15:56:59,16.250000
1.025826,17,2021-12-03 15:56:00,0.575275,2021-12-03 15:57:00,12.285275
1.641642,116,2021-12-03 15:57:00,4.338701,2021-12-03 15:58:00,99.021004
1.491833,116,2021-12-03 15:57:00,3.480000,2021-12-03 15:57:59,89.510000
1.549590,114,2021-12-03 15:58:00,3.440000,2021-12-03 15:58:59,89.070000
1.656278,111,2021-12-03 15:58:00,4.003305,2021-12-03 15:59:00,92.330925
1.400918,60,2021-12-03 15:59:00,2.050000,2021-12-03 15:59:59,45.180000
1.662952,58,2021-12-03 15:59:00,2.190128,2021-12-03 16:00:00,51.042793
1.268934,27,2021-12-03 16:00:00,0.963179,2021-12-03 16:01:00,20.639999
1.527778,52,2021-12-03 16:00:00,1.750000,2021-12-03 16:00:59,39.820000
1.328530,18,2021-12-03 16:02:00,0.630000,2021-12-03 16:02:59,13.260000
2.194444,22,2021-12-03 16:03:00,0.760000,2021-12-03 16:03:59,17.590000
1.805556,19,2021-12-03 16:18:00,0.640000,2021-12-03 16:18:59,15.250000
1.527778,36,2021-12-03 16:55:00,1.190000,2021-12-03 16:55:59,27.670000
1.215308,29,2021-12-03 16:56:00,1.020000,2021-12-03 16:56:59,21.250000
1.444444,17,2021-12-03 16:57:00,0.600000,2021-12-03 16:57:59,13.620000
1.416667,5,2021-12-03 16:58:00,0.170000,2021-12-03 16:58:59,3.830000
0.420042,10,2021-12-03 17:03:00,0.586975,2021-12-03 17:04:00,7.820000
0.839627,43,2021-12-03 17:04:00,1.618617,2021-12-03 17:05:00,30.219999
1.498538,34,2021-12-03 18:08:00,1.130000,2021-12-03 18:08:59,25.899000
0.889449,21,2021-12-03 18:08:00,0.813712,2021-12-03 18:09:00,15.883120
0.907584,52,2021-12-03 18:09:00,2.035102,2021-12-03 18:10:00,38.302994
1.635394,82,2021-12-03 18:09:00,2.650000,2021-12-03 18:09:59,64.150000
0.848997,29,2021-12-03 18:10:00,0.977565,2021-12-03 18:11:00,18.493889
1.231583,27,2021-12-03 18:10:00,0.920000,2021-12-03 18:10:59,19.621000
1.083333,18,2021-12-03 18:12:00,0.660000,2021-12-03 18:12:59,12.540000
0.902726,13,2021-12-03 18:12:00,0.434672,2021-12-03 18:13:00,8.590000
1.472222,16,2021-12-03 18:13:00,0.570000,2021-12-03 18:13:59,11.510000
1.085368,24,2021-12-03 18:13:00,0.759259,2021-12-03 18:14:00,15.670000
1.500000,34,2021-12-03 18:14:00,1.130000,2021-12-03 18:14:59,26.050000
1.416667,45,2021-12-03 18:17:00,1.550000,2021-12-03 18:17:59,34.440000
1.008434,20,2021-12-03 18:17:00,0.569057,2021-12-03 18:18:00,11.920000
1.155883,21,2021-12-03 18:22:00,0.734819,2021-12-03 18:23:00,15.180000
1.361111,25,2021-12-03 18:22:00,0.860000,2021-12-03 18:22:59,18.830000
0.951143,15,2021-12-03 18:23:00,0.548575,2021-12-03 18:24:00,10.470000
1.638889,24,2021-12-03 18:23:00,0.820000,2021-12-03 18:23:59,19.460000
1.141459,28,2021-12-03 18:30:00,1.065059,2021-12-03 18:31:00,22.740000
1.527778,37,2021-12-03 18:31:00,1.220000,2021-12-03 18:31:59,28.280000
1.096491,29,2021-12-03 18:31:00,1.037292,2021-12-03 18:32:00,20.971201
1.555556,1,2021-12-03 18:32:00,0.030000,2021-12-03 18:32:59,0.780000
0.394181,2,2021-12-03 18:32:00,0.031769,2021-12-03 18:33:00,0.738799
0.254945,10,2021-12-03 18:34:00,0.599369,2021-12-03 18:35:00,5.800000
1.500000,31,2021-12-03 18:40:00,1.020000,2021-12-03 18:40:59,24.270000
0.629733,8,2021-12-03 18:40:00,0.433671,2021-12-03 18:41:00,7.360000
1.500000,48,2021-12-03 18:42:00,1.570000,2021-12-03 18:42:59,37.600000
0.938245,36,2021-12-03 18:42:00,1.236282,2021-12-03 18:43:00,23.719999
1.666667,24,2021-12-03 18:43:00,0.830000,2021-12-03 18:43:59,18.670000
1.037801,22,2021-12-03 18:43:00,0.737616,2021-12-03 18:44:00,15.340000
0.983267,11,2021-12-03 18:47:00,0.356401,2021-12-03 18:48:00,7.290000
1.231679,26,2021-12-03 18:47:00,0.830000,2021-12-03 18:47:59,18.758000
1.416667,24,2021-12-03 18:48:00,0.830000,2021-12-03 18:48:59,17.450000
0.957280,10,2021-12-03 18:48:00,0.400560,2021-12-03 18:49:00,7.920000
1.416667,25,2021-12-03 18:49:00,0.850000,2021-12-03 18:49:59,18.900000
1.112346,55,2021-12-03 18:50:00,1.818616,2021-12-03 18:51:00,37.419998
1.543965,66,2021-12-03 18:50:00,2.210000,2021-12-03 18:50:59,51.079000
1.077118,7,2021-12-03 18:51:00,0.269823,2021-12-03 18:52:00,5.580088
1.750000,26,2021-12-03 18:51:00,0.860000,2021-12-03 18:51:59,20.630000
1.138889,28,2021-12-03 18:52:00,1.010000,2021-12-03 18:52:59,19.960000
1.299792,28,2021-12-03 18:52:00,0.918024,2021-12-03 18:53:00,19.769913
1.237498,93,2021-12-03 18:53:00,3.313913,2021-12-03 18:54:00,70.169998
1.222222,79,2021-12-03 18:53:00,2.510000,2021-12-03 18:53:59,57.730000
1.368115,39,2021-12-03 18:54:00,1.268441,2021-12-03 18:55:00,28.627136
1.305556,42,2021-12-03 18:54:00,1.420000,2021-12-03 18:54:59,31.560000
1.166667,97,2021-12-03 18:55:00,3.380000,2021-12-03 18:55:59,69.980000
1.128947,98,2021-12-03 18:55:00,3.338948,2021-12-03 18:56:00,68.065872
1.290667,105,2021-12-03 18:56:00,3.170000,2021-12-03 18:56:59,77.440000
1.246742,105,2021-12-03 18:56:00,3.509170,2021-12-03 18:57:00,74.667755
1.166667,21,2021-12-03 18:57:00,0.730000,2021-12-03 18:57:59,15.150000
1.145862,24,2021-12-03 18:57:00,0.786784,2021-12-03 18:58:00,16.869232
1.444444,15,2021-12-03 19:00:00,0.520000,2021-12-03 19:00:59,11.730000
0.827867,42,2021-12-03 19:02:00,1.421784,2021-12-03 19:03:00,26.440001
1.277778,39,2021-12-03 19:02:00,1.380000,2021-12-03 19:02:59,28.180000
0.176990,6,2021-12-03 19:03:00,0.568341,2021-12-03 19:04:00,4.180000
1.444444,15,2021-12-03 19:04:00,0.520000,2021-12-03 19:04:59,11.700000
0.913649,24,2021-12-03 19:05:00,0.729779,2021-12-03 19:06:00,14.340000
1.472222,38,2021-12-03 19:05:00,1.290000,2021-12-03 19:05:59,29.710000
0.583766,13,2021-12-03 19:25:00,0.531030,2021-12-03 19:26:00,8.207747
1.333333,18,2021-12-03 19:26:00,0.630000,2021-12-03 19:26:59,13.250000
1.085272,11,2021-12-03 19:26:00,0.379608,2021-12-03 19:27:00,7.752253
1.638889,65,2021-12-03 19:35:00,2.160000,2021-12-03 19:35:59,51.360000
1.305556,50,2021-12-03 19:37:00,1.750000,2021-12-03 19:37:59,37.190000
1.022930,25,2021-12-03 19:40:00,0.783053,2021-12-03 19:41:00,16.232225
1.416667,28,2021-12-03 19:40:00,0.950000,2021-12-03 19:40:59,21.430000
1.166667,44,2021-12-03 19:41:00,1.580000,2021-12-03 19:41:59,31.920000
1.008377,50,2021-12-03 19:41:00,1.810571,2021-12-03 19:42:00,35.307774
1.694444,20,2021-12-03 19:42:00,0.690000,2021-12-03 19:42:59,15.300000
1.209124,42,2021-12-03 19:43:00,1.456372,2021-12-03 19:44:00,31.389999
1.416667,28,2021-12-03 19:43:00,0.950000,2021-12-03 19:43:59,20.970000
1.720033,30,2021-12-03 19:44:00,1.122891,2021-12-03 19:45:00,26.781446
1.348757,37,2021-12-03 19:44:00,1.290000,2021-12-03 19:44:59,27.569000
1.086773,51,2021-12-03 19:45:00,2.116860,2021-12-03 19:46:00,42.520000
1.472222,41,2021-12-03 19:45:00,1.320000,2021-12-03 19:45:59,30.990000
1.388889,32,2021-12-03 19:46:00,1.180000,2021-12-03 19:46:59,24.110000
0.828650,13,2021-12-03 19:46:00,0.642452,2021-12-03 19:47:00,11.750000
1.361111,34,2021-12-03 19:47:00,1.170000,2021-12-03 19:47:59,25.460000
0.362030,7,2021-12-03 19:47:00,0.553038,2021-12-03 19:48:00,6.660768
1.403258,108,2021-12-03 19:48:00,3.809289,2021-12-03 19:49:00,84.092491
1.527778,112,2021-12-03 19:48:00,3.520000,2021-12-03 19:48:59,80.040000
1.388889,20,2021-12-03 19:49:00,0.650000,2021-12-03 19:49:59,15.150000
0.646170,27,2021-12-03 19:49:00,1.078889,2021-12-03 19:50:00,17.776741
0.221172,9,2021-12-03 19:50:00,0.601368,2021-12-03 19:51:00,5.220000
1.444444,24,2021-12-03 19:51:00,0.810000,2021-12-03 19:51:59,18.350000
1.280251,50,2021-12-03 19:51:00,1.635295,2021-12-03 19:52:00,35.298653
1.879892,117,2021-12-03 19:52:00,4.723235,2021-12-03 19:53:00,112.786667
1.500000,115,2021-12-03 19:52:00,3.670000,2021-12-03 19:52:59,89.210000
1.416667,54,2021-12-03 19:53:00,1.810000,2021-12-03 19:53:59,39.690000
0.852115,59,2021-12-03 19:53:00,2.425908,2021-12-03 19:54:00,44.744678
0.690196,7,2021-12-03 19:54:00,0.206949,2021-12-03 19:55:00,3.850000
1.555556,31,2021-12-03 19:56:00,1.050000,2021-12-03 19:56:59,24.000000
0.583452,26,2021-12-03 19:56:00,0.985934,2021-12-03 19:57:00,15.580000
1.500000,16,2021-12-03 19:58:00,0.570000,2021-12-03 19:58:59,12.580000
1.333333,19,2021-12-03 20:00:00,0.660000,2021-12-03 20:00:59,14.550000
1.416667,20,2021-12-03 20:08:00,0.690000,2021-12-03 20:08:59,14.720000
1.500000,18,2021-12-03 20:21:00,0.620000,2021-12-03 20:21:59,13.470000
1.694444,28,2021-12-03 20:22:00,0.960000,2021-12-03 20:22:59,23.020000
1.500000,13,2021-12-03 20:24:00,0.400000,2021-12-03 20:24:59,9.430000
2.305556,29,2021-12-03 20:27:00,0.990000,2021-12-03 20:27:59,25.000000
1.916667,17,2021-12-03 20:34:00,0.580000,2021-12-03 20:34:59,13.590000
1.666667,48,2021-12-03 20:36:00,1.620000,2021-12-03 20:36:59,36.670000
0.304762,10,2021-12-03 20:39:00,0.548399,2021-12-03 20:40:00,5.900000
0.266771,6,2021-12-03 20:42:00,0.414426,2021-12-03 20:43:00,4.260000
1.206095,22,2021-12-03 20:43:00,0.756034,2021-12-03 20:44:00,15.830000
1.500000,34,2021-12-03 20:43:00,1.180000,2021-12-03 20:43:59,26.250000
0.641403,27,2021-12-03 20:46:00,1.114510,2021-12-03 20:47:00,18.290001
1.542286,77,2021-12-03 20:46:00,2.500000,2021-12-03 20:46:59,60.340000
0.713623,17,2021-12-03 20:47:00,0.632266,2021-12-03 20:48:00,11.050000
1.305556,30,2021-12-03 20:47:00,1.050000,2021-12-03 20:47:59,21.540000
1.488806,34,2021-12-03 20:52:00,1.130000,2021-12-03 20:52:59,26.091000
1.722222,3,2021-12-03 20:53:00,0.090000,2021-12-03 20:53:59,2.400000
1.361111,17,2021-12-03 20:58:00,0.600000,2021-12-03 20:58:59,13.220000
1.472222,21,2021-12-03 21:00:00,0.720000,2021-12-03 21:00:59,15.680000
1.638889,23,2021-12-03 21:01:00,0.760000,2021-12-03 21:01:59,18.390000
1.444444,20,2021-12-03 21:02:00,0.670000,2021-12-03 21:02:59,15.300000
1.693583,39,2021-12-03 21:07:00,1.300000,2021-12-03 21:07:59,31.340000
1.361111,20,2021-12-03 21:08:00,0.730000,2021-12-03 21:08:59,14.800000
1.777778,15,2021-12-03 21:11:00,0.520000,2021-12-03 21:11:59,11.900000
1.805556,21,2021-12-03 21:18:00,0.710000,2021-12-03 21:18:59,16.940000
1.388889,21,2021-12-03 21:21:00,0.730000,2021-12-03 21:21:59,16.010000
1.972222,23,2021-12-03 21:23:00,0.790000,2021-12-03 21:23:59,19.590000
1.527778,23,2021-12-03 21:25:00,0.780000,2021-12-03 21:25:59,17.670000
1.587137,39,2021-12-03 21:27:00,1.330000,2021-12-03 21:27:59,31.082000
0.764476,29,2021-12-03 21:27:00,1.182703,2021-12-03 21:28:00,20.734371
1.666667,38,2021-12-03 21:28:00,1.300000,2021-12-03 21:28:59,30.650000
1.057837,44,2021-12-03 21:28:00,1.546803,2021-12-03 21:29:00,31.395630
1.789611,43,2021-12-03 21:29:00,1.410000,2021-12-03 21:29:59,33.720000
1.426596,71,2021-12-03 21:30:00,2.500000,2021-12-03 21:30:59,53.480000
1.035863,71,2021-12-03 21:30:00,2.631195,2021-12-03 21:31:00,52.565922
1.305556,31,2021-12-03 21:31:00,1.060000,2021-12-03 21:31:59,22.800000
0.698065,20,2021-12-03 21:31:00,0.832909,2021-12-03 21:32:00,14.084079
1.833333,15,2021-12-03 21:36:00,0.520000,2021-12-03 21:36:59,12.300000
0.645908,8,2021-12-03 21:50:00,0.399503,2021-12-03 21:51:00,6.560000
0.972222,23,2021-12-03 21:50:00,0.860000,2021-12-03 21:50:59,16.340000
1.194444,16,2021-12-03 21:51:00,0.570000,2021-12-03 21:51:59,11.550000
1.555556,18,2021-12-03 21:56:00,0.610000,2021-12-03 21:56:59,14.130000
1.583333,1,2021-12-03 21:57:00,0.030000,2021-12-03 21:57:59,0.791000
1.527778,15,2021-12-03 22:04:00,0.520000,2021-12-03 22:04:59,11.610000
1.527778,12,2021-12-03 22:05:00,0.400000,2021-12-03 22:05:59,9.060000
1.530663,27,2021-12-03 22:09:00,0.920000,2021-12-03 22:09:59,21.510000
0.682722,18,2021-12-03 22:10:00,0.699496,2021-12-03 22:11:00,11.889554
1.444444,25,2021-12-03 22:10:00,0.840000,2021-12-03 22:10:59,18.870000
1.444444,37,2021-12-03 22:11:00,1.270000,2021-12-03 22:11:59,28.750000
0.405873,9,2021-12-03 22:11:00,0.482238,2021-12-03 22:12:00,6.490446
