heart_rate,heart_rate_max,heart_rate_min,start_time,end_time
88,90,87,2021-12-03 07:38:00,2021-12-03 07:38:59
86,91,82,2021-12-03 07:39:00,2021-12-03 07:39:59
90,94,87,2021-12-03 07:40:00,2021-12-03 07:40:59
91,96,87,2021-12-03 07:41:00,2021-12-03 07:41:59
87,92,85,2021-12-03 07:42:00,2021-12-03 07:42:59
83,86,81,2021-12-03 07:43:00,2021-12-03 07:43:59
88,91,87,2021-12-03 07:44:00,2021-12-03 07:44:59
89,93,87,2021-12-03 07:45:00,2021-12-03 07:45:59
90,94,87,2021-12-03 07:46:00,2021-12-03 07:46:59
87,93,83,2021-12-03 07:47:00,2021-12-03 07:47:59
87,91,84,2021-12-03 07:48:00,2021-12-03 07:48:59
86,89,84,2021-12-03 07:49:00,2021-12-03 07:49:59
85,87,83,2021-12-03 07:50:00,2021-12-03 07:50:59
88,90,86,2021-12-03 07:51:00,2021-12-03 07:51:59
88,91,87,2021-12-03 07:52:00,2021-12-03 07:52:59
92,96,88,2021-12-03 07:53:00,2021-12-03 07:53:59
87,90,86,2021-12-03 07:54:00,2021-12-03 07:54:59
83,87,79,2021-12-03 07:55:00,2021-12-03 07:55:59
88,93,83,2021-12-03 07:56:00,2021-12-03 07:56:59
90,95,87,2021-12-03 07:57:00,2021-12-03 07:57:59
83,90,79,2021-12-03 07:58:00,2021-12-03 07:58:59
87,91,80,2021-12-03 07:59:00,2021-12-03 07:59:59
78,85,73,2021-12-03 08:00:00,2021-12-03 08:00:59
84,92,76,2021-12-03 08:01:00,2021-12-03 08:01:59
89,93,85,2021-12-03 08:02:00,2021-12-03 08:02:59
85,91,81,2021-12-03 08:03:00,2021-12-03 08:03:59
82,83,80,2021-12-03 08:04:00,2021-12-03 08:04:59
85,89,83,2021-12-03 08:07:00,2021-12-03 08:07:59
88,92,84,2021-12-03 08:08:00,2021-12-03 08:08:59
90,95,87,2021-12-03 08:09:00,2021-12-03 08:09:59
99,104,92,2021-12-03 08:10:00,2021-12-03 08:10:59
95,103,89,2021-12-03 08:11:00,2021-12-03 08:11:59
86,89,84,2021-12-03 08:12:00,2021-12-03 08:12:59
85,89,83,2021-12-03 08:13:00,2021-12-03 08:13:59
90,94,87,2021-12-03 08:14:00,2021-12-03 08:14:59
87,90,84,2021-12-03 08:15:00,2021-12-03 08:15:59
83,91,79,2021-12-03 08:16:00,2021-12-03 08:16:59
83,87,78,2021-12-03 08:17:00,2021-12-03 08:17:59
80,82,80,2021-12-03 08:18:00,2021-12-03 08:18:59
80,84,78,2021-12-03 08:19:00,2021-12-03 08:19:59
84,86,82,2021-12-03 08:20:00,2021-12-03 08:20:59
87,91,84,2021-12-03 08:21:00,2021-12-03 08:21:59
86,89,85,2021-12-03 08:22:00,2021-12-03 08:22:59
88,91,85,2021-12-03 08:23:00,2021-12-03 08:23:59
90,94,87,2021-12-03 08:24:00,2021-12-03 08:24:59
91,96,86,2021-12-03 08:25:00,2021-12-03 08:25:59
91,97,86,2021-12-03 08:26:00,2021-12-03 08:26:59
91,95,88,2021-12-03 08:27:00,2021-12-03 08:27:59
85,94,81,2021-12-03 08:28:00,2021-12-03 08:28:59
86,92,80,2021-12-03 08:29:00,2021-12-03 08:29:59
