Title,start_time,end_time,plot_dummies,bar_width
Midi avec Julia,2021-12-05 12:00:00,2021-12-05 14:00:00,167,0.083
Appel Pidoux,2021-12-05 15:00:00,2021-12-05 16:00:00,167,0.0415
