heart_rate,heart_rate_max,heart_rate_min,start_time,end_time
85,87,83,2021-12-04 02:02:00,2021-12-04 02:02:59
82,83,82,2021-12-04 02:03:00,2021-12-04 02:03:59
82,86,80,2021-12-04 02:04:00,2021-12-04 02:04:59
84,87,80,2021-12-04 02:05:00,2021-12-04 02:05:59
91,100,82,2021-12-04 02:06:00,2021-12-04 02:06:59
97,100,94,2021-12-04 02:07:00,2021-12-04 02:07:59
89,94,86,2021-12-04 02:08:00,2021-12-04 02:08:59
87,90,84,2021-12-04 02:09:00,2021-12-04 02:09:59
86,89,84,2021-12-04 02:10:00,2021-12-04 02:10:59
91,96,86,2021-12-04 02:11:00,2021-12-04 02:11:59
92,96,89,2021-12-04 02:12:00,2021-12-04 02:12:59
90,93,88,2021-12-04 02:13:00,2021-12-04 02:13:59
88,92,86,2021-12-04 02:14:00,2021-12-04 02:14:59
84,89,81,2021-12-04 02:15:00,2021-12-04 02:15:59
84,92,80,2021-12-04 02:16:00,2021-12-04 02:16:59
79,81,77,2021-12-04 02:17:00,2021-12-04 02:17:59
76,81,74,2021-12-04 02:18:00,2021-12-04 02:18:59
85,92,81,2021-12-04 02:19:00,2021-12-04 02:19:59
89,95,85,2021-12-04 02:20:00,2021-12-04 02:20:59
93,100,84,2021-12-04 02:21:00,2021-12-04 02:21:59
87,89,85,2021-12-04 02:22:00,2021-12-04 02:22:59
86,87,85,2021-12-04 02:23:00,2021-12-04 02:23:59
88,93,86,2021-12-04 02:24:00,2021-12-04 02:24:59
92,94,90,2021-12-04 02:25:00,2021-12-04 02:25:59
89,94,86,2021-12-04 02:26:00,2021-12-04 02:26:59
84,88,81,2021-12-04 02:27:00,2021-12-04 02:27:59
85,89,80,2021-12-04 02:28:00,2021-12-04 02:28:59
88,91,85,2021-12-04 02:29:00,2021-12-04 02:29:59
92,97,89,2021-12-04 02:30:00,2021-12-04 02:30:59
89,92,88,2021-12-04 02:31:00,2021-12-04 02:31:59
83,86,82,2021-12-04 02:32:00,2021-12-04 02:32:59
79,84,77,2021-12-04 02:33:00,2021-12-04 02:33:59
81,84,79,2021-12-04 02:34:00,2021-12-04 02:34:59
81,83,80,2021-12-04 02:35:00,2021-12-04 02:35:59
81,84,79,2021-12-04 02:36:00,2021-12-04 02:36:59
83,86,81,2021-12-04 02:37:00,2021-12-04 02:37:59
81,85,74,2021-12-04 02:38:00,2021-12-04 02:38:59
76,82,73,2021-12-04 02:39:00,2021-12-04 02:39:59
82,86,77,2021-12-04 02:40:00,2021-12-04 02:40:59
82,84,81,2021-12-04 02:41:00,2021-12-04 02:41:59
84,92,81,2021-12-04 02:42:00,2021-12-04 02:42:59
88,95,83,2021-12-04 02:43:00,2021-12-04 02:43:59
95,101,90,2021-12-04 02:44:00,2021-12-04 02:44:59
94,103,84,2021-12-04 02:45:00,2021-12-04 02:45:59
80,87,75,2021-12-04 02:46:00,2021-12-04 02:46:59
81,94,74,2021-12-04 02:47:00,2021-12-04 02:47:59
118,133,96,2021-12-04 02:48:00,2021-12-04 02:48:59
87,89,85,2021-12-04 02:53:00,2021-12-04 02:53:59
83,87,80,2021-12-04 02:54:00,2021-12-04 02:54:59
92,95,85,2021-12-04 02:55:00,2021-12-04 02:55:59
91,94,89,2021-12-04 02:56:00,2021-12-04 02:56:59
91,94,88,2021-12-04 02:57:00,2021-12-04 02:57:59
92,98,88,2021-12-04 02:58:00,2021-12-04 02:58:59
94,97,92,2021-12-04 02:59:00,2021-12-04 02:59:59
96,98,94,2021-12-04 03:00:00,2021-12-04 03:00:59
92,97,87,2021-12-04 03:01:00,2021-12-04 03:01:59
91,93,90,2021-12-04 03:02:00,2021-12-04 03:02:59
93,95,92,2021-12-04 03:03:00,2021-12-04 03:03:59
92,96,88,2021-12-04 03:04:00,2021-12-04 03:04:59
89,95,87,2021-12-04 03:05:00,2021-12-04 03:05:59
90,94,88,2021-12-04 03:06:00,2021-12-04 03:06:59
90,93,89,2021-12-04 03:07:00,2021-12-04 03:07:59
90,92,88,2021-12-04 03:08:00,2021-12-04 03:08:59
88,93,86,2021-12-04 03:09:00,2021-12-04 03:09:59
91,96,88,2021-12-04 03:10:00,2021-12-04 03:10:59
92,97,91,2021-12-04 03:11:00,2021-12-04 03:11:59
92,95,88,2021-12-04 03:12:00,2021-12-04 03:12:59
93,95,92,2021-12-04 03:13:00,2021-12-04 03:13:59
88,93,85,2021-12-04 03:14:00,2021-12-04 03:14:59
86,88,85,2021-12-04 03:15:00,2021-12-04 03:15:59
86,87,85,2021-12-04 03:16:00,2021-12-04 03:16:59
86,89,85,2021-12-04 03:17:00,2021-12-04 03:17:59
87,90,86,2021-12-04 03:18:00,2021-12-04 03:18:59
88,91,87,2021-12-04 03:19:00,2021-12-04 03:19:59
88,93,84,2021-12-04 03:20:00,2021-12-04 03:20:59
86,88,85,2021-12-04 03:21:00,2021-12-04 03:21:59
86,89,85,2021-12-04 03:22:00,2021-12-04 03:22:59
86,90,84,2021-12-04 03:23:00,2021-12-04 03:23:59
86,89,85,2021-12-04 03:24:00,2021-12-04 03:24:59
85,90,82,2021-12-04 03:25:00,2021-12-04 03:25:59
85,88,83,2021-12-04 03:26:00,2021-12-04 03:26:59
86,89,84,2021-12-04 03:27:00,2021-12-04 03:27:59
86,89,84,2021-12-04 03:28:00,2021-12-04 03:28:59
85,90,83,2021-12-04 03:29:00,2021-12-04 03:29:59
83,86,80,2021-12-04 03:30:00,2021-12-04 03:30:59
84,87,83,2021-12-04 03:31:00,2021-12-04 03:31:59
85,87,83,2021-12-04 03:32:00,2021-12-04 03:32:59
82,85,81,2021-12-04 03:33:00,2021-12-04 03:33:59
83,86,80,2021-12-04 03:34:00,2021-12-04 03:34:59
76,81,70,2021-12-04 03:35:00,2021-12-04 03:35:59
80,86,69,2021-12-04 03:36:00,2021-12-04 03:36:59
82,87,81,2021-12-04 03:37:00,2021-12-04 03:37:59
83,86,79,2021-12-04 03:38:00,2021-12-04 03:38:59
86,89,84,2021-12-04 03:39:00,2021-12-04 03:39:59
89,95,85,2021-12-04 03:40:00,2021-12-04 03:40:59
100,103,95,2021-12-04 03:41:00,2021-12-04 03:41:59
102,105,98,2021-12-04 03:42:00,2021-12-04 03:42:59
99,106,94,2021-12-04 03:43:00,2021-12-04 03:43:59
116,126,106,2021-12-04 03:44:00,2021-12-04 03:44:59
125,127,122,2021-12-04 03:45:00,2021-12-04 03:45:59
96,98,94,2021-12-04 03:46:00,2021-12-04 03:46:59
94,98,93,2021-12-04 03:47:00,2021-12-04 03:47:59
94,99,91,2021-12-04 03:48:00,2021-12-04 03:48:59
93,99,91,2021-12-04 03:49:00,2021-12-04 03:49:59
94,100,92,2021-12-04 03:50:00,2021-12-04 03:50:59
89,94,87,2021-12-04 03:51:00,2021-12-04 03:51:59
93,99,90,2021-12-04 03:52:00,2021-12-04 03:52:59
93,97,90,2021-12-04 03:53:00,2021-12-04 03:53:59
89,94,85,2021-12-04 03:54:00,2021-12-04 03:54:59
87,89,85,2021-12-04 03:55:00,2021-12-04 03:55:59
83,87,81,2021-12-04 03:56:00,2021-12-04 03:56:59
82,84,81,2021-12-04 03:57:00,2021-12-04 03:57:59
81,84,80,2021-12-04 03:58:00,2021-12-04 03:58:59
79,81,78,2021-12-04 03:59:00,2021-12-04 03:59:59
80,82,78,2021-12-04 04:00:00,2021-12-04 04:00:59
81,85,78,2021-12-04 04:01:00,2021-12-04 04:01:59
81,84,79,2021-12-04 04:02:00,2021-12-04 04:02:59
81,83,80,2021-12-04 04:03:00,2021-12-04 04:03:59
81,83,80,2021-12-04 04:04:00,2021-12-04 04:04:59
80,83,79,2021-12-04 04:05:00,2021-12-04 04:05:59
86,91,83,2021-12-04 04:06:00,2021-12-04 04:06:59
91,97,87,2021-12-04 04:07:00,2021-12-04 04:07:59
97,101,95,2021-12-04 04:08:00,2021-12-04 04:08:59
96,102,89,2021-12-04 04:09:00,2021-12-04 04:09:59
87,92,83,2021-12-04 04:10:00,2021-12-04 04:10:59
81,87,75,2021-12-04 04:11:00,2021-12-04 04:11:59
93,98,89,2021-12-04 04:12:00,2021-12-04 04:12:59
87,93,85,2021-12-04 04:13:00,2021-12-04 04:13:59
89,94,86,2021-12-04 04:14:00,2021-12-04 04:14:59
100,105,92,2021-12-04 04:15:00,2021-12-04 04:15:59
94,101,89,2021-12-04 04:16:00,2021-12-04 04:16:59
85,88,84,2021-12-04 04:17:00,2021-12-04 04:17:59
88,94,86,2021-12-04 04:18:00,2021-12-04 04:18:59
92,94,90,2021-12-04 04:19:00,2021-12-04 04:19:59
93,95,91,2021-12-04 04:20:00,2021-12-04 04:20:59
96,98,94,2021-12-04 04:21:00,2021-12-04 04:21:59
95,98,92,2021-12-04 04:22:00,2021-12-04 04:22:59
95,100,92,2021-12-04 04:23:00,2021-12-04 04:23:59
97,99,95,2021-12-04 04:24:00,2021-12-04 04:24:59
99,102,96,2021-12-04 04:25:00,2021-12-04 04:25:59
101,111,98,2021-12-04 04:26:00,2021-12-04 04:26:59
105,111,99,2021-12-04 04:27:00,2021-12-04 04:27:59
95,100,89,2021-12-04 04:28:00,2021-12-04 04:28:59
96,98,95,2021-12-04 04:29:00,2021-12-04 04:29:59
98,101,96,2021-12-04 04:30:00,2021-12-04 04:30:59
101,105,98,2021-12-04 04:31:00,2021-12-04 04:31:59
97,102,91,2021-12-04 04:32:00,2021-12-04 04:32:59
90,95,86,2021-12-04 04:33:00,2021-12-04 04:33:59
86,90,83,2021-12-04 04:34:00,2021-12-04 04:34:59
85,89,82,2021-12-04 04:35:00,2021-12-04 04:35:59
85,89,83,2021-12-04 04:36:00,2021-12-04 04:36:59
85,87,84,2021-12-04 04:37:00,2021-12-04 04:37:59
83,88,81,2021-12-04 04:38:00,2021-12-04 04:38:59
89,91,88,2021-12-04 04:39:00,2021-12-04 04:39:59
