com.samsung.shealth.stand_day_summary,1144003,1
stand_time,update_time,pkg_name,day_time,datauuid,create_time,deviceuuid
8781824,28.11.2021 à 23:34:03,com.sec.android.app.shealth,1638057600000,f304b52d-4f8b-523b-d5ce-c7ff6fb603a4,28.11.2021 à 13:39:54,3hCrv0rpUB,
32768,29.11.2021 à 15:20:51,com.sec.android.app.shealth,1638144000000,f8a0810f-82ec-6751-e3d7-d45da07c5c8c,29.11.2021 à 09:08:36,3hCrv0rpUB,
0,01.12.2021 à 10:38:39,com.sec.android.app.shealth,1638316800000,59897eb1-b8f1-3aa3-37b3-1cc9ce1ff527,01.12.2021 à 10:38:39,3hCrv0rpUB,

