com.samsung.health.heart_rate,1144003,8
pkg_name,heart_beat_count,time_offset,binning_data,max,heart_rate,comment,start_time,deviceuuid,custom,end_time,datauuid,create_time,update_time,min
com.sec.android.app.shealth,1,3600000,eff3f656-dcb2-0bbd-896d-51c81011c537.binning_data,95.000000,77.000000,,03.12.2021 à 10:00:00,3hCrv0rpUB,,03.12.2021 à 10:59:59,eff3f656-dcb2-0bbd-896d-51c81011c537,03.12.2021 à 11:05:39,03.12.2021 à 11:05:39,67.000000,
com.sec.android.app.shealth,1,3600000,7b578e2a-0224-c02f-9946-608c70570bc4.binning_data,120.000000,83.000000,,03.12.2021 à 11:00:00,3hCrv0rpUB,,03.12.2021 à 11:59:59,7b578e2a-0224-c02f-9946-608c70570bc4,03.12.2021 à 12:02:43,03.12.2021 à 12:02:43,65.000000,
com.sec.android.app.shealth,1,3600000,166aadc6-43df-a164-8093-60bad5577b4d.binning_data,138.000000,89.000000,,03.12.2021 à 12:00:00,3hCrv0rpUB,,03.12.2021 à 12:59:59,166aadc6-43df-a164-8093-60bad5577b4d,03.12.2021 à 13:01:13,03.12.2021 à 13:01:13,73.000000,
com.sec.android.app.shealth,1,3600000,1ad66fd9-77e3-2c82-342a-93357bcbbe36.binning_data,126.000000,85.000000,,03.12.2021 à 13:00:00,3hCrv0rpUB,,03.12.2021 à 13:59:59,1ad66fd9-77e3-2c82-342a-93357bcbbe36,03.12.2021 à 14:01:27,03.12.2021 à 14:01:27,69.000000,
com.sec.android.app.shealth,1,3600000,58f3f2bf-d9da-c1d1-60ac-13c9c8b2e241.binning_data,95.000000,80.000000,,03.12.2021 à 14:00:00,3hCrv0rpUB,,03.12.2021 à 14:59:59,58f3f2bf-d9da-c1d1-60ac-13c9c8b2e241,03.12.2021 à 15:07:36,03.12.2021 à 15:07:36,70.000000,
com.sec.android.app.shealth,1,3600000,60efe152-53eb-d882-2fbd-4ce845f2e2fc.binning_data,105.000000,82.000000,,03.12.2021 à 15:00:00,3hCrv0rpUB,,03.12.2021 à 15:59:59,60efe152-53eb-d882-2fbd-4ce845f2e2fc,03.12.2021 à 16:02:01,03.12.2021 à 16:02:01,69.000000,
com.sec.android.app.shealth,1,3600000,99a55be7-c0ed-d3ce-5427-bf593cca6456.binning_data,100.000000,81.000000,,03.12.2021 à 16:00:00,3hCrv0rpUB,,03.12.2021 à 16:59:59,99a55be7-c0ed-d3ce-5427-bf593cca6456,03.12.2021 à 17:02:54,03.12.2021 à 17:02:54,68.000000,
com.sec.android.app.shealth,1,3600000,d330fc88-ed15-4e19-7138-df2de13e2168.binning_data,107.000000,79.000000,,03.12.2021 à 17:00:00,3hCrv0rpUB,,03.12.2021 à 17:59:59,d330fc88-ed15-4e19-7138-df2de13e2168,03.12.2021 à 18:01:06,03.12.2021 à 18:01:06,70.000000,
com.sec.android.app.shealth,1,3600000,747a33b6-6080-df29-ddb6-0fa36778d1de.binning_data,167.000000,100.000000,,03.12.2021 à 18:00:00,3hCrv0rpUB,,03.12.2021 à 18:59:59,747a33b6-6080-df29-ddb6-0fa36778d1de,03.12.2021 à 19:10:42,03.12.2021 à 19:10:42,75.000000,
com.sec.android.app.shealth,1,3600000,1f7f5bf1-f0c4-fcc2-c12c-100498640ed4.binning_data,134.000000,98.000000,,03.12.2021 à 19:00:00,3hCrv0rpUB,,03.12.2021 à 19:59:59,1f7f5bf1-f0c4-fcc2-c12c-100498640ed4,03.12.2021 à 20:01:10,03.12.2021 à 20:01:10,80.000000,
com.sec.android.app.shealth,1,3600000,e8c1d6c8-7d80-5fdf-7d87-b33bcd876061.binning_data,118.000000,95.000000,,03.12.2021 à 20:00:00,3hCrv0rpUB,,03.12.2021 à 20:59:59,e8c1d6c8-7d80-5fdf-7d87-b33bcd876061,03.12.2021 à 21:04:17,03.12.2021 à 21:04:17,78.000000,
com.sec.android.app.shealth,1,3600000,a2a03ab4-9f47-6b57-beb9-859ad6e8fd89.binning_data,121.000000,92.000000,,03.12.2021 à 21:00:00,3hCrv0rpUB,,03.12.2021 à 21:59:59,a2a03ab4-9f47-6b57-beb9-859ad6e8fd89,03.12.2021 à 22:01:53,03.12.2021 à 22:01:53,80.000000,
com.sec.android.app.shealth,1,3600000,834e6c47-e080-fceb-8a29-9ed4a45368b1.binning_data,124.000000,92.000000,,03.12.2021 à 22:00:00,3hCrv0rpUB,,03.12.2021 à 22:59:59,834e6c47-e080-fceb-8a29-9ed4a45368b1,03.12.2021 à 23:01:32,03.12.2021 à 23:01:32,76.000000,
com.sec.android.app.shealth,1,3600000,9a90f0cc-5ede-4901-0694-ab16eadfd6d0.binning_data,125.000000,95.000000,,03.12.2021 à 23:00:00,3hCrv0rpUB,,03.12.2021 à 23:59:59,9a90f0cc-5ede-4901-0694-ab16eadfd6d0,04.12.2021 à 00:03:10,04.12.2021 à 00:03:10,72.000000,
com.sec.android.app.shealth,1,3600000,0e5f7eeb-a097-e6e6-43db-02c858b21dc6.binning_data,125.000000,89.000000,,04.12.2021 à 00:00:00,3hCrv0rpUB,,04.12.2021 à 00:59:59,0e5f7eeb-a097-e6e6-43db-02c858b21dc6,04.12.2021 à 01:01:57,04.12.2021 à 01:01:57,75.000000,
com.sec.android.app.shealth,1,3600000,8af02398-6100-4526-205c-8083d0c66ecd.binning_data,128.000000,81.000000,,04.12.2021 à 01:00:00,3hCrv0rpUB,,04.12.2021 à 01:59:59,8af02398-6100-4526-205c-8083d0c66ecd,04.12.2021 à 02:07:30,04.12.2021 à 02:07:30,65.000000,
com.sec.android.app.shealth,1,3600000,be410520-426b-d23e-0c2b-23da6abe9044.binning_data,140.000000,101.000000,,04.12.2021 à 02:00:00,3hCrv0rpUB,,04.12.2021 à 02:59:59,be410520-426b-d23e-0c2b-23da6abe9044,04.12.2021 à 03:03:40,04.12.2021 à 03:03:40,66.000000,
com.sec.android.app.shealth,1,3600000,d83df870-b352-f28e-7d53-0a542a8d0188.binning_data,133.000000,86.000000,,04.12.2021 à 03:00:00,3hCrv0rpUB,,04.12.2021 à 03:59:59,d83df870-b352-f28e-7d53-0a542a8d0188,04.12.2021 à 04:03:37,04.12.2021 à 04:03:37,73.000000,
com.sec.android.app.shealth,1,3600000,c25d95d0-720f-55b2-d228-1fbde849f966.binning_data,127.000000,89.000000,,04.12.2021 à 04:00:00,3hCrv0rpUB,,04.12.2021 à 04:59:59,c25d95d0-720f-55b2-d228-1fbde849f966,04.12.2021 à 05:05:18,04.12.2021 à 05:05:18,69.000000,
com.sec.android.app.shealth,1,3600000,8a8199c0-46e7-e8ab-9a24-f7f6668c2535.binning_data,111.000000,90.000000,,04.12.2021 à 05:00:00,3hCrv0rpUB,,04.12.2021 à 05:39:10,8a8199c0-46e7-e8ab-9a24-f7f6668c2535,04.12.2021 à 05:39:10,04.12.2021 à 05:39:10,75.000000,

