com.samsung.shealth.floor_goal,1144003,1
set_time,update_time,pkg_name,time_offset,datauuid,create_time,value,deviceuuid
1638103198041,28.11.2021 à 13:39:58,com.sec.android.app.shealth,3600000,eab71900-c5f8-6c69-5f90-a1fff0f9ac4d,28.11.2021 à 13:39:58,10,3hCrv0rpUB,
1638791221877,06.12.2021 à 12:47:01,com.sec.android.app.shealth,3600000,f8026346-89dd-c6ae-bf47-ebf3642db405,06.12.2021 à 12:47:01,10,3hCrv0rpUB,

