com.samsung.shealth.stand_day_summary,1144003,1
stand_time,update_time,pkg_name,day_time,datauuid,create_time,deviceuuid
8781824,28.11.2021 à 23:34:03,com.sec.android.app.shealth,1638057600000,f304b52d-4f8b-523b-d5ce-c7ff6fb603a4,28.11.2021 à 13:39:54,3hCrv0rpUB,
32768,29.11.2021 à 15:20:51,com.sec.android.app.shealth,1638144000000,f8a0810f-82ec-6751-e3d7-d45da07c5c8c,29.11.2021 à 09:08:36,3hCrv0rpUB,
32768,01.12.2021 à 15:53:25,com.sec.android.app.shealth,1638316800000,59897eb1-b8f1-3aa3-37b3-1cc9ce1ff527,01.12.2021 à 10:38:39,3hCrv0rpUB,
6144,02.12.2021 à 12:53:39,com.sec.android.app.shealth,1638403200000,548e7e25-b487-ef3e-960f-f9b70dfbb4df,02.12.2021 à 00:00:10,3hCrv0rpUB,
280576,03.12.2021 à 18:08:50,com.sec.android.app.shealth,1638489600000,ff4ab9f0-4846-bce0-0748-059dff2cecf6,03.12.2021 à 00:00:06,3hCrv0rpUB,
0,04.12.2021 à 00:00:04,com.sec.android.app.shealth,1638576000000,052f7d49-1388-b6b6-8cea-71a1361fe924,04.12.2021 à 00:00:04,3hCrv0rpUB,
81920,06.12.2021 à 16:34:25,com.sec.android.app.shealth,1638748800000,0761bcfc-3867-5617-2105-13a641fc528c,06.12.2021 à 12:46:58,3hCrv0rpUB,
2048,07.12.2021 à 11:25:22,com.sec.android.app.shealth,1638835200000,e1019617-ca42-577c-8a64-0aae64841623,07.12.2021 à 00:00:15,3hCrv0rpUB,

