com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1638489600000,2.305556,04.12.2021 à 00:04:32,com.sec.android.app.shealth,,com.sec.android.app.shealth,10155,97a0e507-fc4f-438f-932c-4610da8e38fe.binning_data,5349317,97a0e507-fc4f-438f-932c-4610da8e38fe.achievement,0,348.734283,6000,97a0e507-fc4f-438f-932c-4610da8e38fe,3hCrv0rpUB,7729.300293,03.12.2021 à 08:38:39,31,10186,
1638489600000,2.589918,04.12.2021 à 00:04:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,7423,4a2467bd-6213-49f3-9887-8f75686bc2fe.binning_data,4724000,4a2467bd-6213-49f3-9887-8f75686bc2fe.achievement,0,283.149200,6000,4a2467bd-6213-49f3-9887-8f75686bc2fe,NS2ZoYjFXt,6050.051270,03.12.2021 à 15:58:32,0,7423,
1638576000000,1.421763,05.12.2021 à 00:05:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,8083,5f9067ae-9c5b-4a56-b1d8-760d50fbbd53.binning_data,5087489,5f9067ae-9c5b-4a56-b1d8-760d50fbbd53.achievement,0,351.710022,6000,5f9067ae-9c5b-4a56-b1d8-760d50fbbd53,VfS0qUERdZ,7233.204102,04.12.2021 à 03:04:26,648,8731,
1638576000000,3.920012,05.12.2021 à 00:05:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,5276,0bca45d3-da1a-4d49-82f2-314e79e32aa1.binning_data,4819000,0bca45d3-da1a-4d49-82f2-314e79e32aa1.achievement,0,271.453888,6000,0bca45d3-da1a-4d49-82f2-314e79e32aa1,NS2ZoYjFXt,4960.878418,04.12.2021 à 03:04:26,509,5785,
1638576000000,2.843582,04.12.2021 à 06:10:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,7273,a7b0387b-86ea-44d0-a4fb-8ac52645d529.binning_data,3806500,a7b0387b-86ea-44d0-a4fb-8ac52645d529.achievement,0,284.359985,6000,a7b0387b-86ea-44d0-a4fb-8ac52645d529,3hCrv0rpUB,6186.519043,04.12.2021 à 03:04:34,495,7768,
1638662400000,1.354173,06.12.2021 à 00:09:29,com.sec.android.app.shealth,,com.sec.android.app.shealth,2449,bd21bd98-f26b-4661-a26d-58544ca120da.binning_data,1523922,bd21bd98-f26b-4661-a26d-58544ca120da.achievement,0,94.719940,6000,bd21bd98-f26b-4661-a26d-58544ca120da,VfS0qUERdZ,2063.655029,05.12.2021 à 10:00:17,0,2449,
1638662400000,2.331220,06.12.2021 à 00:09:33,com.sec.android.app.shealth,,com.sec.android.app.shealth,2449,3a270952-0e34-4878-a003-62df5f82dd43.binning_data,1502000,3a270952-0e34-4878-a003-62df5f82dd43.achievement,0,94.719940,6000,3a270952-0e34-4878-a003-62df5f82dd43,NS2ZoYjFXt,2063.655029,05.12.2021 à 10:00:46,0,2449,
1638748800000,0.497563,06.12.2021 à 09:33:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,38,0a8294c1-e9c7-4256-bc61-c30f941d4980.binning_data,61921,0a8294c1-e9c7-4256-bc61-c30f941d4980.achievement,0,2.147844,6000,0a8294c1-e9c7-4256-bc61-c30f941d4980,VfS0qUERdZ,30.809999,06.12.2021 à 00:09:36,0,38,
1638835200000,1.470582,06.12.2021 à 00:09:36,com.sec.android.app.shealth,,com.sec.android.app.shealth,5110,d0b9ccda-7b8a-4bf1-8b47-1803b5dabc02.binning_data,3050085,d0b9ccda-7b8a-4bf1-8b47-1803b5dabc02.achievement,0,201.232773,6000,d0b9ccda-7b8a-4bf1-8b47-1803b5dabc02,VfS0qUERdZ,4485.400879,06.12.2021 à 00:09:36,0,5110,
1638748800000,1.053016,06.12.2021 à 09:33:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,38,5276e7bb-e049-4882-86b7-565b17aeaaf7.binning_data,61000,5276e7bb-e049-4882-86b7-565b17aeaaf7.achievement,0,2.147844,6000,5276e7bb-e049-4882-86b7-565b17aeaaf7,NS2ZoYjFXt,30.809999,06.12.2021 à 09:33:16,0,38,

